qmk,alt,legend,altLegend,type,raw
KC_MS_UP,KC_MS_U,,,MOUSE,0x00e7
KC_MS_DOWN,KC_MS_D,,,MOUSE,0x00e8
KC_MS_LEFT,KC_MS_L,,,MOUSE,0x00e9
KC_MS_RIGHT,KC_MS_R,,,MOUSE,0x00ea
KC_MS_BTN1,KC_BTN1,,,MOUSE,0x00eb
KC_MS_BTN2,KC_BTN2,,,MOUSE,0x00ec
KC_MS_BTN3,KC_BTN3,,,MOUSE,0x00ed
KC_MS_BTN4,KC_BTN4,,,MOUSE,0x00ee
KC_MS_BTN5,KC_BTN5,,,MOUSE,0x00ef
KC_MS_WH_UP,KC_WH_U,,,MOUSE,0x00f0
KC_MS_WH_DOWN,KC_WH_D,,,MOUSE,0x00f1
KC_MS_WH_LEFT,KC_WH_L,,,MOUSE,0x00f2
KC_MS_WH_RIGHT,KC_WH_R,,,MOUSE,0x00f3
KC_MS_ACCEL0,KC_ACL0,,,MOUSE,0x00f4
KC_MS_ACCEL1,KC_ACL1,,,MOUSE,0x00f5
KC_MS_ACCEL2,KC_ACL2,,,MOUSE,0x00f6
RGB_TOG,,,,LED,0x5c33
RGB_MODE_FORWARD,RGB_MOD,,,LED,0x5c34
RGB_MODE_REVERSE,RGB_RMOD,,,LED,0x5c35
RGB_HUI,,,,LED,0x5c36
RGB_HUD,,,,LED,0x5c37
RGB_SAI,,,,LED,0x5c38
RGB_SAD,,,,LED,0x5c39
RGB_VAI,,,,LED,0x5c3a
RGB_VAD,,,,LED,0x5c3b
RGB_MODE_PLAIN,RGB_M_P,,,LED,0x5c3e
RGB_MODE_BREATHE,RGB_M_B,,,LED,0x5c3f
RGB_MODE_RAINBOW,RGB_M_R,,,LED,0x5c40
RGB_MODE_SWIRL,RGB_M_SW,,,LED,0x5c41
RGB_MODE_SNAKE,RGB_M_SN,,,LED,0x5c42
RGB_MODE_KNIGHT,RGB_M_K,,,LED,0x5c43
RGB_MODE_XMAS,RGB_M_X,,,LED,0x5c44
RGB_MODE_GRADIENT,RGB_M_G,,,LED,0x5c45
RGB_MODE_RGBTEST,RGB_M_T,,,LED,0x5c46
KC_LCPO,,,,QMK,0x5c64
KC_RCPC,,,,QMK,0x5c65
KC_LSPO,,,,QMK,0x5c48
KC_RSPC,,,,QMK,0x5c49
KC_LAPO,,,,QMK,0x5c66
KC_RAPC,,,,QMK,0x5c67
KC_SFTENT,,,,QMK,0x5c4a
